Module Code,Module Title,Credits,Term,ELE Link,prerequisites,Prerequisites,Coerequisites,Prerequisite_Codes,Coerequisite_Codes,Non_Requisite_Codes,Year
BEP1040,Marketing in a Digital Age,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP1040&ay=2023/4&sys=0,,None,None,[],[],[],1
BEP1070,Accounting,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP1070&ay=2023/4&sys=0,,None,None,[],[],[],1
BEP1080,Theory and Practice of Management,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP1080&ay=2023/4&sys=0,,None,None,[],[],[],1
BEP1100,Understanding Work and Organisations,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP1100&ay=2023/4&sys=0,,None,None,[],[],[],1
BEP1120,Introduction to Economics,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP1120&ay=2023/4&sys=0,,None,None,[],[],[],1
BEP1130,Introduction to 'With Industrial Experience',,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP1130&ay=2023/4&sys=0,,None,None,[],[],[],1
BEP1140,Preparation for WYA With Year Abroad,,"1, 2 and 3",https://business-school.exeter.ac.uk/module/?mod_code=BEP1140&ay=2023/4&sys=0,,None,None,[],[],[],1
BEP1150,"Environment, Society and Business",30.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BEP1150&ay=2023/4&sys=0,,None,Cannot be taken with BEP1010,[],[],['BEP1010'],1
BEP1160,Business History,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP1160&ay=2023/4&sys=0,,,,[],[],[],1
BEP2020,Project Management,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP2020&ay=2023/4&sys=0,,None,None,[],[],[],2
BEP2030,Business Practice (Placement/Work Experience Project),15.0,1 and 2,https://business-school.exeter.ac.uk/module/?mod_code=BEP2030&ay=2023/4&sys=0,,Module pre-requisites not found on the webpage.,,[],[],[],2
BEP2040,Strategic Concepts for Business,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP2040&ay=2023/4&sys=0,,None,None,[],[],[],2
BEP2050,Finance for Business,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP2050&ay=2023/4&sys=0,,None,None,[],[],[],2
BEP2060,Research Inquiry for Practice,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP2060&ay=2023/4&sys=0,,None,None,[],[],[],2
BEP2070,Social Enterprise Management,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP2070&ay=2023/4&sys=0,,None,None,[],[],[],2
BEP2110,Workplace Wellbeing,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP2110&ay=2023/4&sys=0,,None,None,[],[],[],2
BEP2120,Digital Technologies and the Future of Work,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP2120&ay=2023/4&sys=0,,None.,None.,[],[],[],2
BEP2130,Preparation for 'with Year Abroad',,"1, 2 and 3",https://business-school.exeter.ac.uk/module/?mod_code=BEP2130&ay=2023/4&sys=0,,"Minimum overall weighted average of 50% in level 1 for European institutions and 60% in level 1 for International (non-European) institutions. Please note that this module is a pre-requisite for Level 3 Business School Year Abroad module BEP3100/BEP3100A.There may be some language requirements for specific host institutions, please contact the Global Opportunities Team for more information.",,['BEP3100'],[],[],2
BEP2140,Business Analytics,15.0,2,https://business-school.exeter.ac.uk/module/?mod_code=BEP2140&ay=2023/4&sys=0,,None,None,[],[],[],2
BEP2150,Ecological Economics,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP2150&ay=2023/4&sys=0,,None,None,[],[],[],2
BEP2160,Institutional Economics,15.0,1,https://business-school.exeter.ac.uk/module/?mod_code=BEP2160&ay=2023/4&sys=0,,None,None,[],[],[],2
